,year,electric_range,base_msrp,dol_v_id,geo_id,clusters,cluster
71938,2013,208,69900,152021145,53067012226.0,0,pink
72000,2012,265,59900,199336938,53033024902.0,0,pink
72014,2018,14,45600,185606424,53033025101.0,0,pink
72184,2018,19,64950,474648849,53033032218.0,0,pink
72185,2018,14,54950,116909026,53033032225.0,0,pink
72256,2019,14,91250,475825276,53033003100.0,0,pink
72307,2018,14,184400,113244169,53033025007.0,0,pink
72324,2019,12,36900,107300588,53033011601.0,0,pink
72329,2016,93,31950,123122996,53033024703.0,0,pink
72403,2018,17,52900,149279644,53033008900.0,0,pink
72491,2013,208,69900,186114624,53033007800.0,0,pink
72523,2018,12,36800,347957550,53033005201.0,0,pink
72651,2018,31,75095,117039205,53053072305.0,0,pink
72654,2016,93,31950,213714119,53035092701.0,0,pink
72722,2017,14,44100,221592276,53033006500.0,0,pink
72771,2019,15,55700,103779581,53033023902.0,0,pink
72849,2018,19,64950,114703032,53061053505.0,0,pink
72969,2016,93,31950,107743261,53033002500.0,0,pink
72972,2014,208,69900,263445206,53033022902.0,0,pink
72986,2018,14,54950,194974769,53053071211.0,0,pink
73016,2013,208,69900,205259589,53033003400.0,0,pink
73061,2014,208,69900,239076848,53033032213.0,0,pink
73078,2013,208,69900,219508838,53033032316.0,0,pink
73223,2016,93,31950,130144101,53035080600.0,0,pink
73267,2019,12,36900,225980786,53035090800.0,0,pink
73306,2013,208,69900,126587247,53033024100.0,0,pink
73311,2017,14,44100,238471887,53005010204.0,0,pink
73314,2017,93,32250,111702671,53061053803.0,0,pink
73402,2013,208,69900,183693303,53061050101.0,0,pink
73407,2014,208,69900,140654692,53033032002.0,0,pink
73550,2018,12,36800,233428604,53033005700.0,0,pink
73632,2013,208,69900,151836835,53033024100.0,0,pink
73696,2019,16,53400,125830435,53033024200.0,0,pink
73712,2014,208,69900,237865862,53053072508.0,0,pink
73728,2018,111,33950,278816310,53033022604.0,0,pink
73835,2013,208,69900,212873097,53035091001.0,0,pink
